Название текста,Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
EС12-A3-9469,eng,FL,IL,,{{Когда }} я  уехала*@*  я  не  знала*@*  увидем  ли  мы  друг  друга  еще  раз.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
EC12-А4-0961,eng,FL,IL,,{{Когда }} я  ехала  в  Россию*@*  я  была  одна.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
notags_EC12-A3-2164,eng,FL,IL,,И  хотя  жизнь  меняется  и  мы  не  всегда  можем  находить  с  такими  друзьями*@*  {{когда }} мы  видим  друг  друга  спустя  день*@*  месяц*@*  или  пять  лет*@*  мы  радуемся  вместе*@*  и  это  будто*@*  как  ни  какое  время  не  прошло.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
ЕС12-A4-1616,eng,FL,IL,,{{Когда }} мы  сначала  познакомились  мы  были  совершенно  другие  люды.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
А3-7984 ЧтоТакоеДруг,eng,FL,IL,,У  меня  хорошая  подруга*@*  кого  Я  встретила  {{когда }} мне  восемь  лет.,когда,время,гп,мест,мест,и,д,1ед,мест мест,other
EC12-A3-9421,eng,FL,IL,,{{Когда }} мы  были  на  работе  вместе*@*  мы  разговаривали  шутки  и  рассказы  друг  к  другу ( может  быть  секреты)*@*  но  это  было  всё.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
ЕС12-А4-7078,eng,FL,IL,,Например  {{Когда }} Я  разговорю  с  людьми*@*  хочу  знать*@*  что  они  сказяп  без  перевода.,когда,время,пг,null,мест,null,и,1ед,null мест,null
EC12-A3-0763,eng,FL,IL,,После  много  годи*@*  Я  знаю  что  такой  правдный  друг*@*  и  Я  знаю  что  такой  любымый  друг.  {{когда }} я  была 18  лет*@*  я  встречала  друг  который  был  учитель  тоже.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
EC12-A3-9995,eng,FL,IL,,{{Когда }} я  думаю  о  друзьях*@*  я  думаю  о  людей*@*  с  которыми  люблю  проводить  время  и  разговаривать.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
EC12-A3-9995,eng,FL,IL,,{{Когда }} я  была  грустной*@*  я  могла  с  ним  поговорить  и  я  всегда  ушла  с  улыбкой.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
EC12-A3-9995,eng,FL,IL,,{{Когда }} я  помогаю  кому-нибудь*@*  я  чувствую  любовь  к  тому  человеку.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
А3-5572,eng,FL,IL,,Я  жил  в  России*@*  в  Санкт-Петербурге*@*  {{когда }} я  познакомился  с  человеком*@*  которого  зовут  Чарли.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
EС12-A4-0828,eng,FL,IL,,{{Когда }} мы  переехали  мы  были  вместе.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
А3-9128ЧтоТакоеДруг,eng,FL,IL,,Я  знала*@*  что  я  не  подруга  Адрианы*@*  {{когда }} я  сказала  и  она  не  слушала*@*  и  {{когда }} я  не  хотела  слушать  её.,когда,время,г_п,мест,мест,и,и,1ед,мест мест,other
А3-9128ЧтоТакоеДруг,eng,FL,IL,,Я  не  дувушка*@*  которая  я  была*@*  {{когда }} мне  было  восем  лет.,когда,время,гп,мест,мест,и,д,1ед,мест мест,other
А3-8221ЧтоТакоеДруг,eng,FL,IL,,Мы  только  об  этом  узнаем*@*  {{когда }} мы  получаем  емаил  от  друга  и  стаем  так  счастlиви.,когда,время,гп,мест,мест,и,и,1мн,мест мест,other
А3 – 7522 ЧтоТакоеДруг,eng,FL,IL,,Но  {{когда }} я  говорил  с  врачом*@*  я  узнал  что  в  Грузии  нет  временной  вакцины  от  бешинства.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
EC12-A3-0808,eng,FL,IL,,Летом*@*  {{когда }} я  поехали  в  России*@*  я  поехала  с  моей  подруге.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
notags_EC12-A3-2379,eng,FL,IL,,{{Когда }} мы  были  мальнками  мы  создавали  каторый  день  какую-то  новую  игру*@*  которой  только  мы  знали  правила.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
ЕС12-А4-5090,eng,FL,IL,,Я  очень  рад  {{когда }} Я  вижу  они.  мои  друзьями  люди*@*  который  я  хочу  позвонить  {{когда }} Я  хочу  ходить  в  кино*@*  или  в  рестаранте  или  клуб.  но*@*  иногда  с  моим  друзьями  Я  не  могу  очень  рад  потому*@*  что  я  должны  быть  разны  чем  моей  правелная  личность.  мои  друзиями  очень  хороши  людей*@*  но  мы  не  очень  удобны  с  друг  другом.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
EC12-A3-1440,eng,FL,IL,,Человек*@*  который  всегда  будет  поддерживать  вас»  {{когда }} я  был  на  первом  курсе*@*  Я  дружил  с  странным  молодым  человеком*@*  которого  звали « Джеб».  он  интересовался  политикой*@*  так  как  я*@*  и  мы  вместе  часто  шутили  о  мире*@*  о  стране*@*  и  о  разных  других  вешах.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
EC12-A3-1440,eng,FL,IL,,Всеной  мы  так  делали*@*  и  {{когда }} Я  поехал  домой  на  каныкулах*@*  Я  сомневался  что  она  когда-нибудь  будет  влюблена*@*  потому  что  у  неё  никогда  не  было  друга  раньше  и  она  была  очень  неопытна.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
EC12-A3-1440,eng,FL,IL,,Но  {{когда }} Я  был  дома  летом*@*  мне  было  скучно  без  моей  подруги*@*  и  Я  начал  звонить  её*@*  только  чтобы  Я  мог  услышать  её  голос.,когда,время,пг,мест,мест,д,и,1ед,мест мест,other
EC12-A3-9499,eng,FL,IL,,{{Когда }} мы  вместе*@*  нам  всегда  весело  и  всегда  есть  о  чем  разговаривать.,когда,время,пг,мест,мест,д,и,1мн,мест мест,other
EC12-A3-0459,eng,FL,IL,,Мы  с  Амелией  познакомились 12  лет  назад  в  начальной  школе  {{когда }} нам  было 10  лет.,когда,время,гп,мест,мест,и,д,1мн,мест мест,other
EC12-A3-0459,eng,FL,IL,,{{Когда }} мы  с  Амелией  счастливый*@*  или  {{когда }} нам  грустно*@*  {{когда }} жизнь  лёгка*@*  или  тяжёлая*@*  мы  всегда  поддерживаем  друг  друга.,когда,время,п_г,мест,мест,и,и,1мн,мест мест,other
EC12-A3-0459,eng,FL,IL,,{{Когда }} мы  действительно  увидимься*@*  мы  с  Амелией  обычно  поём  кофе  и  разговариваем  в  теченье  длинных  часов.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
EC12-A3-0611,eng,FL,IL,,Но  {{когда }} мы  встретимся*@*  мы  знаем  без  вопросов.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
А3-6987,eng,FL,IL,,{{Когда }} я  был  меньше*@*  я  не  знал*@*  чтобы  кататься  на  лыжах.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
А3-4597,eng,FL,IL,,{{Когда }} я  скучала  по  моей  семье*@*  я  с  Одри  говорила*@*  и  она  поняла  очень  хорошо.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
