Название текста,Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
текст 23,fin,FL,B2,,Мы  встретились  с  ней  четыре  года  назад*@*  {{когда }} мы  начали  изучать  английский  язык  в  Университете  Ювяскюля.,когда,время,гп,мест,мест,и,и,1мн,мест мест,other
текст 28,fin,FL,B2,,У  него  были  два  брата  и  две  сестры*@*  но  самая  младшая  сестра  умерла*@*  {{когда }} ней  было  только  два  года.,когда,время,гп,сущ,мест,и,д,3ед,сущ мест,other
текст 29,fin,FL,B2,,{{Когда }} мне  исполнилась 40  лет*@*  я  однажды  задумался*@*  что  будет  со  мной*@*  {{когда }} я  умру.,когда,время,пг,мест,мест,и,д,1ед,мест мест,other
Почему кошки нравятся мне больще чем собаки,fin,FL,B2,,{{Когда }} кошка  спит  с  тобой  в  кровати*@*  она  намнога  меньше  требут  чем  собака  спающая  с  тобой.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
текст 30,fin,FL,B2,,{{Когда }} я  покупаю  что-нибудь*@*  я  лучше  покупаю  меньше  и  лучшее  квалитет.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
текст 31,fin,FL,B2,,Люди  могут  отдыхать  хорошо*@*  {{когда }} делают  что-то  интересного.,когда,время,гп,сущ,null,и,null,3мн,сущ null,null
Биография Вилле Хаапасало,fin,FL,B2,,{{Когда }} он  был  молод*@*  он  решился  его  будет  стать  актерем.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
текст  33,fin,FL,B2,,{{Когда }} я  начинала  бегать  утрам*@*  я  жила  в  городе  Тампере.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
текст 37,fin,FL,B2,,На  первый  класс  я  пошла*@*  {{когда }} мне  было  семь  лет  и  помоему  это  нормальный  воздраст  начать  школу  в  Финляньдии.,когда,время,гп,мест,мест,и,д,1ед,мест мест,other
Сергей Донатович Довлатов (1941 - 1990) – Внешность и характер,fin,FL,B2,,Он  умер  довольно  молодым*@*  {{когда }} ему  было  только 48  лет.,когда,время,гп,мест,мест,и,д,3ед,мест мест,other
Y_FS_текст 44,fin,FL,B2,,{{Когда }} Саша  написал  письмо*@*  он  сделал  всё  домашнее  задание.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
Y_FS_текст 44,fin,FL,B2,,{{Когда }} Саша  пришёл  дома*@*  он  быстро  приготовил  ужин.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
текст 48,fin,FL,B2,,Я  позвоню  {{когда }} я  в  корпусе.  -,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
текст  49,fin,FL,B2,,{{Когда }} я  была  молода  я  жила  в  США  три  лет  с  семьей*@*  и  сейчас  я  учусь  английского  язвыка  на  главного  предмеда.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
текст 50,fin,FL,B2,,{{Когда }} Борис  шёл  вниз  по  лестнице*@*  он  увидел  ещё  одну  мышь.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
текст 59,fin,FL,B2,,{{Когда }} была  в  России*@*  очень  часто  покупала  одежду  там —  чаще  чем  в  Финляндии.,когда,время,пг,null,null,null,null,1ед,null null,null
текст 61,fin,FL,B2,,{{Когда }} я  была  в  России  я  очень  часто  ходила  по  магазинам*@*  но  купила  только  немного  сувениров.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
текст 61,fin,FL,B2,,Я  была  в  магазине  около  часа*@*  {{когда }} я  шла*@*  или  бегала*@*  к  продавщице. «,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
В России,fin,FL,B2,,Мы  были  в  России  только  около  двух  дней*@*  {{когда }} нам  было  надо  платить  за  аренду  в  банке.,когда,время,гп,мест,мест,и,д,1мн,мест мест,other
В России,fin,FL,B2,,Кассиршам  было  очень  весело*@*  {{когда }} они  узнали*@*  что  я  иностранка  и  не  понимала  их.,когда,время,гп,сущ,мест,д,и,3мн,сущ мест,other
текст  65,fin,FL,B2,,{{Когда }} я  хочу  отдыхать*@*  читаю  хорошую  книгу*@*  гуляю  с  собакой*@*  смотрю  филмь  или  смотрю  какую-либо  плохую  программу  по  телевизору*@*  например « За  стеклом».,когда,время,пг,null,мест,null,и,1ед,null мест,null
текст 66,fin,FL,B2,,Я  очень  редко  хожу  в  книжные  магазины*@*  но  {{когда }} я  так  делаю*@*  я  обычно  там  и  читаю ( особенно  в  Финляндии  потому*@*  что  здесь  книги  сравнительно  дорогие).,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
текст 73,fin,FL,B2,,{{Когда }} я  хочу  какую-то  новую  одежду  покупать*@*  я  её  примеряю  и  смотрю*@*  как  она  мне  сидит.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
текст 77,fin,FL,B2,,{{Когда }} я  отдыхаю*@*  я  фактически  бездельничаю.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
текст 80,fin,FL,B2,,{{Когда }} я  была  маленькая  девочка*@*  я  всегда  летом  плавала  много  часов  в  день  на  маленьком  детском  бассейне*@*  который  у  нас  был  во  дворе.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
текст 84,fin,FL,B2,,{{Когда }} путешествуешь –  или  один  или  вместе  с  кем-то –  учишь  очень  много  о  себе*@*  о  мире  вообще… и  можешь  использовать  всякие  вещи*@*  которые  учил  в  школе  и  в  жизни.,когда,время,пг,null,null,null,null,2ед,null null,null
текст 88,fin,FL,B2,,Я  пошла  в  школу*@*  {{когда }} мне  была  семь  лет.,когда,время,гп,мест,мест,и,д,1ед,мест мест,other
текст 90,fin,FL,B2,,{{Когда }} мне  было  семь  лет*@*  я  пошла  в  школу.,когда,время,пг,мест,мест,и,д,1ед,мест мест,other
текст 92,fin,FL,B2,,Я  пошла  в  школу*@*  {{когда }} я  была  шесть  лет.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
текст 93,fin,FL,B2,,{{Когда }} я  была  в  школе*@*  я  учила  английский  язык*@*  шведский  язык  и  немецкий  язык.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
текст 94,fin,FL,B2,,Я  познакомилась  с  русским  языком  в 14  лет*@*  {{когда }} я  смотрела  русскую  теленовеллу « Бедная  Настя»  по  телевизору.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
текст 95,fin,FL,B2,,{{Когда }} я  была  маленькой  девочкой*@*  я  не  очень  понимала  других  детей.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
текст 95,fin,FL,B2,,{{Когда }} я  было  в  восьмом  классе*@*  мне  не  было  весело.,когда,время,пг,мест,мест,д,и,1ед,мест мест,other
текст 96,fin,FL,B2,,Мой  дедушка  жил  знаменительную  часть  своей  жизни  в  Швеции*@*  а  потом  переехал  в  Финляндию  после  того*@*  {{когда }} он  познакомился  с  моей  бабушкой.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
текст 98,fin,FL,B2,,Я  пошёл  в  школу  {{когда }} мне  было  семь  лет.,когда,время,гп,мест,мест,и,д,1ед,мест мест,other
Животные в моей жизни,fin,FL,B2,,Наша  дружба  продолдается  до  сих  пор*@*  и  я  с  нетерпением  жду*@*  {{когда }} в  следующий  раз  вижу  Эльвиса.,когда,время,гп,мест,null,и,null,1ед,мест null,null
Международный Женский День,fin,FL,B2,,Даже  больше  чем  раньше*@*  благодаря  русской  традицией*@*  казуемой  с 8  марта*@*  с  которой  я  познакомилась  во  время  {{когда }} сама  жила  в  России.,когда,время,гп,мест,null,и,null,1ед,мест null,null
Мой русский язык,fin,FL,B2,,Русский  язык  для  меня -  одна  часть  той  русской  души*@*  которая  я  нашла  в  себе  в  то  время*@*  {{когда }} жила  в  России.,когда,время,гп,мест,null,и,null,1ед,мест null,null
Мой русский язык,fin,FL,B2,,Я  дождаться  не  могла*@*  {{когда }} уже  выучу  говорить  настолько  хорошо*@*  что  смогу  больше  общаться  с  новыми  своими  друзьями.,когда,время,гп,мест,null,и,null,1ед,мест null,null
Мой русский язык,fin,FL,B2,,{{Когда }} я  препадаю  классический  танец*@*  мне  бы  хотелось  все  время  менять  язык  на  русский*@*  и  с  трудом  вспоминаю*@*  в  частности*@*  финские  слова  для  частей  тела.,когда,время,пг,мест,мест,д,и,1ед,мест мест,other
Финляндия*@* Россия и их народы,fin,FL,B2,,{{Когда }} уже  привыкла  к  этому*@*  мне  даже  понравилось*@*  что  в  России  можно  высказать  свои  мнения*@*  даже  если  это  не  нравится  другому  человеку*@*  и  можно  ссорится  именно  о  мнениях.,когда,время,пг,мест,null,д,null,1ед,мест null,null
